Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,race,first_of_many,gender,age,zip_code,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
1,0,1,2,1,1,0,0,1,R_1GDT2JHtbi6pfet,White European,More likely to support,Male,61,2176,Bechelor degree,"$50,000-$74,999",Retired,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",Interesting HIT and I support it....,43.8500061,18.38330078,146.255.157.208,7/15/15 2:58,7/15/15 3:13,Yes,Very positive,Tolerated,Less likely    ,None of the Above
1,0,1,0,1,0,1,0,0,R_1NRgzUxHONK9Jtz,White European,Less likely to support,Male,25,6812,Bechelor degree,"$175,000-$199,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",This is  somewhat like  how I think about the ocean,,41.37809753,-73.46910095,173.9.70.22,7/14/15 13:10,7/14/15 13:38,Yes,Very positive,Tolerated,Less likely    ,None of the Above
1,0,1,1,1,1,0,0,1,R_1RgdZ3Vv2lNWZYV,White European,No effect on my attitude,Female,39,1432,Some college credit ,"$150,000-$174,999",A homemaker ,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Disagree,Stongly Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,"Yes, this is  very much like  how I think about the ocean","No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean","Yes, this is  like  how I think about the ocean",,42.4427948,-71.23169708,98.229.181.225,7/27/15 11:48,7/27/15 11:59,Yes,Positive,Tolerated,No difference,None of the Above
1,0,1,2,1,0,2,0,1,R_1XkWisNy2AsUpZH,White European,More likely to support,Male,19,2472,High school graduate,"$50,000-$74,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",This helped me realize my true beliefs about the life in the ocean that we don't pay enough attention to.,42.37219238,-71.17870331,146.115.179.54,7/11/15 9:12,7/11/15 9:29,Yes,Positive,Tolerated,Less likely    ,None of the Above
1,0,1,1,1,0,0,0,1,R_2co2HL7fSkRYHYN,White European,No effect on my attitude,Female,38,6066,Graduate degree or Professional degree ,"$125,000-$149,000",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,41.83650208,-72.46320343,32.212.217.147,7/12/15 12:22,7/12/15 12:29,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,1,0,0,1,R_2t3UDaqQVWHDjvf,White European,No effect on my attitude,Female,44,2128,Associate degree,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"No, this is  very unlike  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",MT ID # A1S4U8K21USI9A,42.32209778,-71.13339996,108.20.0.165,7/11/15 10:58,7/11/15 11:08,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_2udElqUm8L6HSGF,White European,No effect on my attitude,Female,38,1938,Some college credit ,"$50,000-$74,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.68249512,-70.84700012,96.237.241.104,7/13/15 15:38,7/13/15 15:50,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,2,0,1,2,2,1,R_3BHxg7xEcXZrZMF,Black or African American,More likely to support,Female,20,6708,Some college credit ,"$75,000-$99,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Agree,Disagree,Agree,Stongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Stongly Disagree,Strongly Agree,Agree,Stongly Disagree,Disagree,Disagree,Disagree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"No, this is  very unlike  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,41.55140686,-73.06520081,76.28.24.7,7/10/15 15:28,7/10/15 15:41,No,Very positive,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_3BPG1iRB2SAYv53,White European,More likely to support,Female,18,4730,Some college credit ,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,,46.11540222,-67.91699982,199.193.85.43,7/27/15 14:00,7/27/15 14:12,Yes,Very positive,Encouraged,More likely,0
1,0,0,0,1,0,1,0,1,R_3Dw9IrzI1itpybr,White European,Less likely to support,Male,31,32065,Associate degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",,30.12939453,-81.77749634,71.199.81.133,7/20/15 10:47,7/20/15 10:54,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,2,0,1,R_3jIaGS3rqT5KQ29,White European,Much more likely to support,Female,41,1462,Bechelor degree,"$175,000-$199,999",Self-employed,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,42.43930054,-71.77690125,24.91.253.146,7/27/15 4:19,7/27/15 4:27,Yes,Very positive,Encouraged,Much more likely,0
1,2,2,2,2,2,2,2,2,R_3K4YYu69VKmc01n,White European,No effect on my attitude,Male,44,29420,Bechelor degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,Never,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Disagree,"No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean","No, this is  very unlike  how I think about the ocean",,32.93260193,-79.97979736,199.67.17.19,7/27/15 11:52,7/27/15 12:00,Yes,Negative,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_3kM8DIimavIwNhj,White European,Much more likely to support,Female,28,1915,Some college credit ,"$35,000-$49,999",Out of work,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,42.56530762,-70.85780334,24.2.242.106,7/26/15 18:34,7/26/15 18:43,Yes,Very positive,Encouraged,Much more likely,None of the Above
1,0,1,1,1,0,0,0,1,R_3LfDMnA3qEuedUx,White European,No effect on my attitude,Female,33,1027,Bechelor degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,42.17329407,-72.77149963,73.47.180.18,7/15/15 13:16,7/15/15 13:21,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,0,2,1,0,2,0,1,R_3mGJtMvjXL4RzEx,White European,Much more likely to support,Male,20,2747,Some college credit ,"Less than $10,000",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Neither Agree nor Disagree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",,41.63540649,-70.9434967,76.23.208.227,7/22/15 23:19,7/22/15 23:31,Yes,Very positive,Encouraged,No difference,0
1,0,1,1,1,0,2,0,1,R_3mxEEvGPnogvQKp,White European,No effect on my attitude,Female,22,3087,Bechelor degree,"Less than $10,000",Student,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.76179504,-71.41190338,75.68.31.124,7/13/15 8:19,7/13/15 8:33,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,2,1,0,2,0,1,R_3n6wJgesn7ivrbT,White European,No effect on my attitude,Male,27,1080,Some college credit ,"$15,000-$24,999",Student,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.0953064,-72.32450104,73.16.208.49,7/11/15 7:57,7/11/15 8:06,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_3t9tMyEF2YZanwV,White European,More likely to support,Male,27,95363,High school graduate,"Less than $10,000",Out of work,"Yes, I have done many HITs",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",,37.63920593,-120.9736023,50.173.201.227,7/27/15 15:21,7/27/15 15:41,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,0,2,0,1,2,1,R_3vEn2mZxaExQxCJ,White European,Less likely to support,Female,24,4103,Associate degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,44.22529602,-69.09230042,70.105.233.46,7/27/15 9:17,7/27/15 9:28,Yes,Positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,2,0,1,R_3VOIs4RZ8lGlJjL,White European,Much more likely to support,Female,23,3079,Some college credit ,"$35,000-$49,999",Student,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Disagree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",N/A,42.89149475,-71.27870178,50.189.228.116,7/27/15 2:57,7/27/15 3:15,No,Very positive,Tolerated,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_40XchjhEy0nAmxL,Black or African American,More likely to support,Female,29,2189,Some college credit ,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Yes, this is  very much like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.20680237,-70.9552002,73.38.213.231,7/14/15 10:07,7/14/15 10:26,Yes,Very positive,Encouraged,No difference,None of the Above
1,1,0,2,2,2,2,1,1,R_4ME0EXGMx0uGEZv,White European,No effect on my attitude,Female,23,3909,Bechelor degree,"$10,000-$14,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,This is  somewhat unlike  how I think about the ocean,This is  somewhat like  how I think about the ocean,I didn't feel like I knew enough about the pros and cons of wind farms to be able to really make a firm decision. I would have to do more research about them vs. coal plants to make a more educated decision if i was to vote on the issue. ,43.31990051,-70.63179779,74.78.150.246,7/16/15 18:51,7/16/15 19:06,Yes,Neutral,Not sure,Less likely    ,None of the Above
1,0,1,2,2,0,0,2,1,R_4Obwgz5yXr8Q3RP,White European,No effect on my attitude,Female,28,2895,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Agree,Disagree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Stongly Disagree,Agree,Agree,"Yes, this is  like  how I think about the ocean","Yes, this is  like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,"Yes, this is  very much like  how I think about the ocean",,41.9980011,-71.49410248,71.117.150.152,7/12/15 13:40,7/12/15 13:50,Yes,Very positive,Encouraged,No difference,None of the Above
1,0,1,2,1,0,1,0,1,R_4UszAknxHX1fcMd,White European,More likely to support,Female,22,2453,Bechelor degree,"$100,000-$124,999",Student,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,"Yes, this is  like  how I think about the ocean",This is  somewhat like  how I think about the ocean,This is  somewhat like  how I think about the ocean,"Yes, this is  like  how I think about the ocean",,42.36990356,-71.23529816,108.20.233.157,7/20/15 13:06,7/20/15 13:18,Yes,Positive,Encouraged,No difference,None of the Above
1,0,1,1,1,0,0,0,1,R_4Vhw34Ky39LASoZ,White European,Less likely to support,Female,35,2920,Graduate degree or Professional degree ,"$50,000-$74,999",Out of work,"Yes, I am an MT worker ",Republican party,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Stongly Disagree,Disagree,Agree,"Yes, this is  very much like  how I think about the ocean",This is  somewhat unlike  how I think about the ocean,"Yes, this is  like  how I think about the ocean","Yes, this is  very much like  how I think about the ocean",No feedback or comments thank you,41.76939392,-71.46759796,68.230.131.52,7/25/15 6:30,7/25/15 6:43,Yes,Positive,Tolerated,No difference,None of the Above
