ID,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,white,female,age,univ_degr,income,wages,self-emp,pol_dem,pol_ind,pol_rep,coast_rec,mean_nep,mean_rel,mean_met,mean_inst,mean_mor,att_w_US,oper,const_st,wf_rec,sup,opp,dis,skep,int,af,con,cur,ap,enth,app,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_ins,decade_r_mor,comm_rel,wild_rel,clean_inst,tech,tech_r,iden_rel,kin_rel,right_r_mor,health_rel,other_rel,kin_met,resp_met,iden_met,other_met,feedback,lat,long,zip_code,ResponseID,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24
11,1,0,1,2,1,1,0,0,1,1,0,61,1,6,0,1,0,0,1,0,3.6,3.83,1,2.67,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,5,3,2,5,5,4,3,5,3,3,5,5,5,1,5,1,1,1,1,"It's not just about the eyesore, or the added expense to my electricity bill each month, it's about not knowing the effect these will have long term on ocean life.  Denmark has smaller turbines up since 1991, that's not long enough to know the impacts, nor is it necessarily a good guide to use for turbines that will be much larger.   /  / I will always opt for the solution that does NOT mess with the ocean life at all.  That is why I consistently chose C.  We can find cleaner ways to use coal and natural gas.  Let's not decide to just waltz off and potentially destroy yet another part of this world.  We've done enough to the oceans...we need to just stop.   /  / Another alternative, that no one likes to talk about much is:  work on ways to stop using so many resources.  Thing is, no one wants to be in the slightest bit inconvenienced to do that.  Ride a bike?  Here's the list of excuses as to why that's not possible....is what you will get in response.  Of course the winter time is ridiculously cold and i wouldn't ride a bike in that weather, either, but what about the other six months of the year?   /  / We have to decide if we want to mess up our oceans, or realize that burning wood isn't as bad as its made out to be, when it comes to heating homes.  We need to stop using so much oil to heat homes in the winter time.  Natural gas is a better solution in that case, and if we set up to use natural gas to heat homes, then we can use natural gas for other things, making wind turbines unnecessary.   /  / If no one wants turbines in their backyard, (which is the whole reason they would be out in the ocean), then they don't belong in the ocean, either.  I swear people as a ""community"" are incredibly selfish.  Let's go ahead and possibly destroy the ocean just so we don't have to look at some ugly monstrosity, (except when we go to the beach....which is another topic in itself to have to see those hideous things out there when looking out on the ocean), and because we think it's better to destroy yet another environment when we've done a bang up job of trashing the land that we live on.  Enough of this.  NO turbines in the ocean.",37.63690186,-121.0171051,2176,R_1GDT2JHtbi6pfet,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
12,1,0,1,0,1,0,1,0,0,1,0,25,1,11,1,0,1,0,0,0,3,3.67,2,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,3,2,2,2,4,3,3,4,2,3,4,2,4,4,2,2,1,3,,42.79499817,-71.2256012,6812,R_1NRgzUxHONK9Jtz,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13,1,0,1,1,1,1,0,0,1,1,1,39,0,10,0,1,1,0,0,1,2.6,3,3.25,2.67,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,2,5,4,3,2,5,3,3,3,4,4,2,4,5,1,5,2, ,42.37219238,-71.17870331,1432,R_1RgdZ3Vv2lNWZYV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
14,1,0,1,2,1,0,2,0,1,1,0,19,0,6,0,0,0,1,0,1,3.8,3.17,3,3.33,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,2,3,3,3,2,5,4,2,3,4,3,2,5,3,3,5,1,,41.58770752,-71.46230316,2472,R_1XkWisNy2AsUpZH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15,1,0,1,1,1,0,0,0,1,1,1,38,1,9,0,0,1,0,0,0,4.4,3,3.25,3.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,4,3,4,5,4,2,5,2,4,3,4,5,1,4,4,3,4,2,"I think that climate change is so far advanced that it will be impossible to stop but we have to do what we can-now, not later.",41.84350586,-70.96520233,6066,R_2co2HL7fSkRYHYN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
16,1,0,1,1,1,1,0,0,1,1,1,44,1,3,1,0,0,0,1,1,4.6,3.5,3.25,4.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,4,3,1,5,3,4,5,3,3,4,3,5,2,5,4,3,5,1,,42.68659973,-73.72899628,2128,R_2t3UDaqQVWHDjvf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17,1,0,1,1,1,0,0,0,1,1,1,38,0,6,1,0,1,0,0,0,4.2,4,2.25,3,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,2,4,3,4,4,5,3,3,4,4,4,4,4,2,2,3,2,,42.35960388,-71.12870026,1938,R_2udElqUm8L6HSGF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
18,1,0,1,2,0,1,2,2,1,0,1,20,0,7,1,0,1,0,0,0,4.2,3.17,3,2.33,3.5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,4,2,5,5,4,2,4,2,4,2,5,4,2,4,3,3,5,1,,42.90499878,-71.78150177,6708,R_3BHxg7xEcXZrZMF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
19,1,0,1,1,1,0,0,0,1,1,1,18,0,2,0,0,0,1,0,1,2.6,3.67,2.75,3,3,1,1,1,4,1,0,0,0,1,0,0,1,0,1,1,3,3,2,3,2,3,4,3,4,4,4,3,3,4,2,3,4,4,2,3,3,3,,41.06100464,-73.54290009,4730,R_3BPG1iRB2SAYv53,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20,1,0,0,0,1,0,1,0,1,1,0,31,1,7,1,0,1,0,0,0,3.2,3.5,2.25,3.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,3,2,3,3,4,4,5,4,2,3,4,3,2,4,3,2,2,2,,44.12339783,-69.83190155,32065,R_3Dw9IrzI1itpybr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
21,1,0,1,1,1,0,2,0,1,1,1,41,1,11,0,0,0,0,1,1,4.2,3.83,1.5,3.67,3,1,1,1,5,1,0,0,0,1,0,0,1,0,1,1,5,4,4,4,4,4,4,4,4,4,5,4,2,4,4,4,2,5,2,1,2,1,ty,42.20680237,-70.9552002,1462,R_3jIaGS3rqT5KQ29,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
22,1,2,2,2,2,2,2,2,2,1,0,44,1,7,1,0,0,0,0,0,2,2.5,5,3.33,3,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,4,3,5,5,5,5,,42.96609497,-70.98809814,29420,R_3K4YYu69VKmc01n,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
23,1,0,1,1,1,0,0,0,1,1,1,28,0,5,1,0,1,0,0,1,5,4.33,1,3.33,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,5,5,5,5,5,4,2,5,5,5,1,5,1,1,1,1,,42.50509644,-71.20469666,1915,R_3kM8DIimavIwNhj,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
24,1,0,1,1,1,0,0,0,1,1,1,33,1,7,1,0,1,0,0,0,4.4,4,1.25,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,4,3,5,5,4,4,5,4,2,4,5,5,2,5,1,1,2,1,thank you for looking into this. The Cape Cod wind farm has created a lot of controversy here!,42.93960571,-71.53530121,1027,R_3LfDMnA3qEuedUx,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
25,1,0,0,2,1,0,2,0,1,1,0,20,0,1,0,0,0,1,0,0,4.2,3.83,2.75,3.33,3,1,1,1,3,1,0,0,0,1,0,0,0,0,1,1,5,4,5,3,4,2,3,5,4,4,5,5,1,4,4,5,2,5,4,2,4,1,"I come across people who don't care about the environment almost every other day. Their attitude goes like this - if its a little hot, switch the AC on; if it is cold, switch the heater on; if you have money, buy any number of cars, even you need just one or don't need one at all; open the tap/shower in full force and just don't bother to control the water flow; leave the lights on only to create an ambience even when there is plenty of sunlight available; Do all kinds of exercise, in the name of exercise alone - walk, run, jump, dance and what not, but never 'walk' to a nearby store!; Lastly, give the excuse that one person alone cannot create any difference.",42.0092926,-88.09259796,2747,R_3mGJtMvjXL4RzEx,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
26,1,0,1,1,1,0,2,0,1,1,1,22,1,1,0,0,1,0,0,1,3.8,3.67,3,3.33,3.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,3,3,4,4,3,4,5,3,3,4,4,3,2,5,3,3,4,2,,42.38009644,-71.06420135,3087,R_3mxEEvGPnogvQKp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
27,1,0,1,2,1,0,2,0,1,1,0,27,0,3,0,0,1,0,0,0,5,3.83,2.5,3.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,5,5,5,3,5,2,4,4,4,5,2,5,3,1,4,2,interesting material!,41.73049927,-71.11450195,1080,R_3n6wJgesn7ivrbT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,1,0,1,1,1,0,0,0,1,1,0,27,0,1,1,0,0,1,0,0,4,4.17,1.5,3,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,5,4,4,4,5,3,3,5,5,5,3,4,1,2,2,1,,41.28329468,-72.86530304,95363,R_3t9tMyEF2YZanwV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
29,1,0,1,0,2,0,1,2,1,1,1,24,1,4,1,0,1,0,0,0,4,3.83,3,3,3.5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,4,3,4,5,4,4,4,4,2,4,4,4,3,4,3,3,4,2,,42.36459351,-71.10279846,4103,R_3vEn2mZxaExQxCJ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
30,1,0,1,1,1,0,2,0,1,1,1,23,0,5,0,0,0,1,0,0,4.2,3.67,2,3,3,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,5,2,4,5,3,4,5,4,2,4,5,5,1,5,3,1,3,1,,42.54930115,-71.25579834,3079,R_3VOIs4RZ8lGlJjL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
31,1,0,1,1,1,0,0,0,1,0,1,29,0,5,1,0,1,0,0,1,2.8,4.5,2,2.33,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,3,1,5,4,5,5,5,4,2,5,5,5,2,5,2,1,3,2,None,18.53329468,73.86669922,2189,R_40XchjhEy0nAmxL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
32,1,1,0,2,2,2,2,1,1,1,1,23,1,2,1,0,0,0,1,0,3.8,3.33,3.25,3,2.5,1,3,5,2,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,4,3,4,4,4,2,4,2,4,4,2,4,3,3,4,3,,42.58790588,-71.34980011,3909,R_4ME0EXGMx0uGEZv,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
33,1,0,1,2,2,0,0,2,1,1,1,28,1,6,1,0,1,0,0,0,4,3.67,2.25,3,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,4,2,4,4,4,4,5,3,3,4,4,5,1,5,2,2,4,1,thanks,42.58990479,-71.98870087,2895,R_4Obwgz5yXr8Q3RP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
34,1,0,1,2,1,0,1,0,1,1,1,22,1,8,1,0,0,1,0,0,4.2,3.67,2.5,3.33,2.5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,3,4,3,4,3,5,3,3,3,4,4,4,4,3,2,3,2,,40.76620483,-73.98619843,2453,R_4UszAknxHX1fcMd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
35,1,0,1,1,1,0,0,0,1,1,1,35,1,6,1,0,0,1,0,0,4.4,3.5,2,3.67,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,4,2,2,4,4,2,5,3,3,4,5,4,1,5,4,1,2,1,,41.74240112,-72.69049835,2920,R_4Vhw34Ky39LASoZ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,1,0,1,2,1,0,2,0,1,0,0,20,1,3,1,0,1,0,0,0,5,4.5,1,2.67,2.5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,5,4,5,5,5,5,1,5,4,5,3,5,1,1,1,1,N/A,41.49940491,-72.97640228,6010,R_4VN278d6PHU55eB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
37,1,2,2,2,2,2,2,2,2,1,0,57,0,5,1,0,0,1,0,1,3.6,3.5,3,3.33,3,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,4,3,3,3,4,3,4,3,3,3,4,3,3,4,3,3,3,3,No comments.,42.75300598,-71.08609772,2149,R_50bTj8paHBwSlHD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
38,1,0,1,1,1,0,0,0,1,1,1,54,0,6,1,0,0,0,0,1,4,3.67,2,3,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,2,4,2,2,3,1,,43.79400635,-70.39790344,2108,R_5ALEck3XOWIRRf7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
39,1,0,1,0,1,1,1,0,1,1,1,44,0,1,1,0,0,1,0,1,2.2,2.67,4,3.33,3,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,4,2,2,4,4,2,4,2,4,4,2,5,3,5,3,this was interesting. thank you,41.17370605,-73.1364975,1020,R_5i0au36wPN2VtJ3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
40,1,0,1,1,1,0,0,0,1,1,0,25,0,1,0,1,1,0,0,0,2.6,4.33,1.25,3.33,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,3,4,2,5,4,5,3,3,4,5,2,3,5,1,1,1,2,,42.75289917,-71.58370209,1852,R_5ndSEURIN8H1bSJ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
41,1,0,1,2,1,0,0,0,1,1,1,28,1,5,0,0,0,1,0,0,4.6,4.17,2,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,5,3,5,5,3,5,5,4,2,4,5,5,3,5,3,1,3,1,,41.85450745,-71.43779755,2806,R_5nDu09Ohy36sjVr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
42,1,0,1,1,1,0,0,0,1,1,0,30,1,5,1,0,0,1,0,1,5,4,1.75,4,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,2,1,4,4,4,5,4,2,5,5,5,1,5,1,1,1,4,,41.81329346,-71.36190033,1440,R_5ut2tqTHns5SeQB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
43,1,0,2,2,1,1,1,0,1,1,0,31,1,4,0,0,1,0,0,1,3.8,3.17,3.5,3.33,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,4,3,3,2,5,4,2,3,4,3,3,4,4,3,4,3,,42.36720276,-72.51850128,4401,R_5vwhuShCk2H3fw1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
44,1,0,1,1,1,0,0,0,1,1,1,22,0,6,0,0,1,0,0,0,4.6,4.17,2,3.67,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,5,4,4,4,5,4,5,3,3,4,5,4,2,5,2,2,3,1,,42.05430603,-71.37149811,1585,R_6fHtAi514WJaiGx,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
45,1,0,1,1,0,0,1,0,0,1,0,25,0,4,0,1,0,1,0,1,3.4,3.33,3.75,2.67,3.5,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,2,4,3,4,3,4,3,3,2,3,2,4,4,4,3,5,3,,41.70809937,-70.34049988,6450,R_6JRf3ZMco16QsSN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
46,1,2,2,2,2,2,2,2,2,1,1,35,1,5,1,0,0,1,0,1,3.4,3.83,2.25,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,3,3,4,5,4,4,4,2,4,5,4,5,3,3,3,1,2,3,,44.97999573,-93.26380157,4444,R_6QIHyPaXoQzNeqF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
47,1,0,1,1,1,0,0,0,1,1,0,20,0,7,1,0,1,0,0,1,3.8,4,1.75,3.33,3,1,1,1,4,1,0,0,0,1,0,0,1,0,1,1,4,3,4,4,4,3,4,4,4,4,5,5,1,4,4,4,4,4,2,2,2,1,no,42.38279724,-71.09549713,2115,R_6rQf5tvvvW00JQ9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
48,1,0,1,1,1,0,0,0,1,1,1,26,1,8,1,0,1,0,0,0,4.6,3.17,3.25,2.67,2.5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,4,2,5,4,4,2,5,3,3,3,4,5,1,5,4,1,5,3,n/a,41.9980011,-71.49410248,3873,R_6sVd1MweY9SicqF,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
49,1,0,1,2,1,0,2,0,1,0,0,24,0,4,1,0,0,0,0,0,3.4,4.5,1,3,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5,2,3,4,3,2,4,4,5,4,5,5,1,5,5,4,3,5,1,1,1,1,,41.48779297,-73.06269836,4401,R_6uvGyYGLHUGAAJv,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
50,1,1,0,1,1,1,2,0,1,1,1,32,1,9,0,0,0,0,0,1,5,4.17,1.5,3.67,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,1,5,2,1,2,1,,42.24290466,-71.00980377,2472,R_7NwFnzITm6AMlcp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
51,1,1,1,0,1,1,0,0,0,0,0,38,1,10,1,0,0,0,1,0,3.2,3.17,3,3,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,4,2,3,2,4,2,4,4,2,3,4,,4,2,2,3,4,3,no comment,41.72990417,-71.2582016,2169,R_8c8AuB5J2crS6Il,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
52,1,0,0,2,2,0,2,2,1,1,0,23,0,5,1,0,1,0,0,0,4.8,4,2.75,2.67,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,2,4,4,5,4,4,4,2,4,5,4,2,4,3,2,4,2,No,41.77270508,-71.35030365,1602,R_8IghlH19w1pw4uh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
53,1,0,1,0,1,0,0,0,1,1,1,51,1,1,1,0,0,0,1,0,4.2,3.67,1.25,4,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,5,4,3,4,4,4,5,4,2,5,4,5,1,4,2,1,1,1,This survey has opened my eyes to realize that wind turbines can affect the growth of ocean wildlife.,40.73980713,-73.93540192,2852,R_8v8fFiriLGfB3VP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
54,1,1,0,0,0,1,1,1,0,1,1,45,1,11,0,0,1,0,0,1,3.8,3.5,3,3.33,1.5,1,1,1,3,1,0,0,0,1,0,0,1,0,1,1,4,5,3,3,4,2,3,2,4,3,5,4,2,3,4,5,4,3,3,3,2,4,,41.36860657,-71.86370087,2818,R_8vuug6voyuSHjpP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
55,1,0,1,2,0,0,1,2,1,1,1,24,1,5,0,0,0,1,0,1,3.6,3.67,2.25,3.67,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,3,4,4,3,5,3,3,4,3,4,4,4,2,2,2,3,,37.61920166,-77.4960022,6110,R_8xl0a3uNONomiup,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
56,1,0,1,1,1,0,0,0,1,1,0,30,1,10,1,0,0,1,0,0,3,2.83,3.75,3.33,2.5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,2,3,4,2,2,2,5,3,3,2,2,3,5,4,5,3,4,3,none at this time,42.05940247,-71.93560028,2127,R_9AXCsuRHBqoimvb,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
