ResponseID	IPAddress	StartDate	EndDate	finished	att_w_US	oper	const_st	wf_rec	sup	opp	dis	skep	int	af	con	cur	ap	enth	app	att1	first_st	gender	age	zip	zip2	ethnic_or	White European	Other	Other_TEXT	edu	income	employ	att2	pol	pol_other	rec	abuse_nep	bal_r_nep	crisis_r_nep	spaceship_nep	bau_nep	extract_r_ins	loss_r_ins	decade_r_mor	comm_rel	wild_rel	clean_inst	tech	tech_r	iden_rel	kin_rel	right_r_mor	health_rel	other_rel	kin_met	resp_met	iden_met	other_met	mean_nep	mean_rel	mean_met	mean_inst	mean_mor	feedback	lat	long
R_3n6wJgesn7ivrbT	73.16.208.49	7/11/15 7:57	7/11/15 8:06	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	27	1080	1080	White European	1	0		4	3	5	4	1		3	5	5	5	5	5	4	5	5	5	3	5	2	4	4	4	5	2	5	3	1	4	2	5	3.83	2.5	3.33	3		42.0953064	-72.32450104
R_4Z7dgqxQPC6fnBr	24.61.237.15	7/21/15 7:09	7/21/15 7:18	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	33	1082	1082	Native Hawaiian or Other Pacific Islander	1	0		7	7	1	4	1		3	4	4	5	3	4	2	4	4	4	2	5	5	1	3	3	2	2	5	4	2	5	1	4	3.17	3	3	4	none	42.29910278	-72.27570343
R_3dybDH3gB3W6grX	73.167.141.248	7/12/15 18:31	7/12/15 18:40	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	29	1083	1083	White European	1	0		7	6	2	4	3		2	4	4	4	5	4	3	4	5	4	3	5	4	2	4	4	5	2	5	3	3	3	2	4.2	3.67	2.75	3.33	3	none	42.29910278	-72.27570343
R_8ohSCJwYDSbirQN	50.189.125.227	7/26/15 6:13	7/26/15 6:29	1	2	2	5	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	54	1085	1085	White European	0	1	white	3	6	3	4	1		3	4	4	2	3	4	3	4	4	4	4	5	3	3	4	4	4	2	4	2	2	2	2	3.4	3.67	2	3.33	3		42.12350464	-72.63990021
R_1Sb0LO16Jx5TcCV	50.153.135.135	7/21/15 16:49	7/21/15 17:02	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	56	1089	1089	White European	1	0		4	4	6	4	1		3	5	5	5	5	5	3	5	5	4	5	5	3	3	5	5	5	3	5	2	1	2	3	5	4.5	2	3	3	no thank you	42.50480652	-71.19560242
R_81VySqk5NT9vGxT	50.153.132.24	7/14/15 13:27	7/14/15 13:35	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	56	1089	1089	White European	1	0		4	4	3	4	1		4	5	5	5	4	5	2	4	4	4	4	5	3	3	5	5	5	2	5	2	1	2	1	4.8	4.17	1.5	3	2.5		42.52789307	-70.92870331
R_etD12acTHVo6w9T	101.63.65.87	7/11/15 17:41	7/11/15 17:52	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	32	1120	1120	Asian	0	0		6	1	2	4	1		4	3	2	3	4	3	2	2	3	4	4	4	4	2	5	4	2	5	4	2	2	2	3	3	4.33	2.25	3.33	3.5		12.98330688	77.58331299
R_5yVMo4tqkV1of3L	50.139.148.122	7/24/15 6:56	7/24/15 7:09	1	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	40	1129	1129	Native Hawaiian or Other Pacific Islander	1	0		4	5	1	4	3		5	4	3	4	4	3	2	3	3	3	1	4	2	4	1	2	3	2	4	5	5	5	5	3.6	2.17	5	3	3		42.12980652	-72.5687027
R_1UmdGA1GogGWe5n	24.25.136.47	7/11/15 18:24	7/11/15 18:43	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	33	1201	1201	White European	1	0		5	5	1	4	5		4	5	4	4	4	4	2	3	4	3	3	5	3	3	4	3	5	2	4	3	3	3	2	4.2	3.17	2.75	3.33	2.5	"Nothing, thanks."	42.62710571	-73.11869812
R_bqhdczjeGHpyohT	72.79.200.49	7/13/15 17:28	7/13/15 17:37	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	38	1230	1230	White European	1	0		4	4	1	4	3		3	4	4	4	4	4	2	4	5	4	4	5	3	3	4	4	5	2	4	1	1	1	1	4	3.67	1	3	3		42.33059692	-72.63059998
R_brNlZkLKzMOuUqV	72.79.197.116	7/20/15 14:40	7/20/15 14:48	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	43	1245	1245	White European	1	0		6	4	2	4	1		4	5	4	5	5	5	4	5	5	5	5	5	3	3	5	5	5	1	5	1	1	2	2	4.8	4.33	1.5	3.33	3		42.63420105	-72.6026001
R_9KwPmcHqGwceDEV	96.233.167.19	7/12/15 7:21	7/12/15 7:33	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	33	1339	1339	White European	1	0		7	5	1	4	3		4	5	5	5	5	5	5	5	4	5	5	5	4	2	5	5	4	1	5	2	1	3	1	5	4.33	1.75	3.67	3	none	42.18609619	-72.52549744
R_03dxZHgSxRRcU7P	75.68.205.238	7/11/15 18:05	7/11/15 18:14	1	2	1	2	3	1	0	0	0	1	0	0	1	0	0	1	0	3	1	28	1375	1375	White European	1	0		6	2	1	4	1		4	5	4	5	4	4	4	5	4	4	4	5	3	3	4	4	5	2	4	2	2	3	1	4.4	3.67	2	3.33	2.5		42.47639465	-72.62640381
R_b3GxGMw8QThLyBv	128.119.156.2	7/14/15 8:30	7/14/15 8:40	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	20	1375	1375	White European	1	0		4	2	5	4	1		2	4	5	5	4	4	4	5	5	3	4	5	4	2	4	4	5	2	5	3	1	4	3	4.4	3.67	2.75	3.33	3		42.36720276	-72.51850128
R_8xn6ieyQM4RCCl7	71.162.66.39	7/25/15 12:05	7/25/15 12:15	1	2	3	5	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	34	1430	1430	White European	0	1	Caucasian	3	5	1	4	3		4	4	4	2	3	2	3	4	4	4	2	5	3	3	2	2	4	2	4	4	3	5	3	3	2.67	3.75	3.33	3		42.27059937	-71.84790039
R_1RgdZ3Vv2lNWZYV	98.229.181.225	7/27/15 11:48	7/27/15 11:59	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	39	1432	1432	White European	1	0		4	10	4	4	5		3	4	3	2	2	2	2	5	4	3	2	5	3	3	3	4	4	2	4	5	1	5	2	2.6	3	3.25	2.67	3		42.4427948	-71.23169708
R_5ut2tqTHns5SeQB	73.143.61.152	7/27/15 7:33	7/27/15 7:39	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	30	1440	1440	White European	1	0		6	5	1	4	1		4	5	5	5	5	5	2	1	4	4	4	5	4	2	5	5	5	1	5	1	1	1	4	5	4	1.75	4	2.5		42.58990479	-71.98870087
R_5w439KNNQxKMf9H	73.143.61.152	7/11/15 12:00	7/11/15 12:06	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	30	1440	1440	White European	1	0		6	5	1	4	1		4	5	5	5	4	5	3	2	4	4	3	5	4	2	5	4	5	1	4	2	1	1	2	4.8	3.5	1.5	4	2.5	thanks	42.58990479	-71.98870087
R_d5NFyjFU4mtTovr	98.118.58.18	7/11/15 13:06	7/11/15 13:21	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	24	1460	1460	White European	1	0		6	6	5	4	1		4	5	5	4	5	5	2	4	5	4	4	5	3	3	3	4	5	2	5	2	2	4	1	4.8	3.67	2.25	3	3		42.53840637	-71.48529816
R_3jIaGS3rqT5KQ29	24.91.253.146	7/27/15 4:19	7/27/15 4:27	1	1	1	1	5	1	0	0	0	1	0	0	1	0	1	1	0	5	1	41	1462	1462	White European	1	0		6	11	2	4	3		1	5	4	4	4	4	4	4	4	4	4	5	4	2	4	4	4	2	5	2	1	2	1	4.2	3.83	1.5	3.67	3		42.43930054	-71.77690125
R_4JwwBo0IGilUEkd	71.232.81.233	7/26/15 22:07	7/26/15 22:18	1	1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	33	1462	1462	White European	1	0		6	5	2	5	3		4	4	4	3	2	3	2	3	4	4	3	4	3	3	3	4	4	3	4	2	2	3	3	3.2	3.5	2.5	3	3		42.59080505	-71.80549622
R_7R3j2aVNBbOKO21	66.189.91.152	7/26/15 17:48	7/26/15 17:57	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	21	1463	1463	White European	1	0		4	8	5	4	3		2	4	4	4	3	5	3	2	4	5	5	5	4	2	5	4	3	2	5	3	2	3	2	4	4.33	2.5	4	3.5		42.66549683	-71.59519958
R_0k7FkHKRojtTMup	68.185.118.159	7/11/15 13:39	7/11/15 13:51	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	34	1507	1507	White European	1	0		4	1	3	5	1		3	4	5	5	4	4	4	4	5	5	4	5	4	2	4	4	5	2	5	2	1	2	2	4.4	4	1.75	3.67	3		42.19549561	-71.84629822
R_afQYvLDxQTVIUQd	75.143.30.18	7/10/15 21:12	7/10/15 21:53	1	1	1	1	3	1	0	0	0	1	0	0	1	0	1	1	0	4	1	40	1519	1519	White European	1	0		7	6	1	4	3		3	5	5	5	5	4	4	5	4	4	4	5	4	2	4	3	5	1	4	4	3	4	3	4.8	3.33	3.5	3.33	2.5		42.17610168	-71.59999847
R_82Py6qhFA9ja7VH	40.140.148.2	7/21/15 9:14	7/21/15 9:27	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	34	1524	1524	White European	1	0		7	4	1	4	3		3	4	3	3	4	3	2	4	4	5	2	5	3	3	2	3	4	4	4	5	3	4	2	3.4	3.33	3.5	3	3	none at this time	42.05940247	-71.93560028
R_b8HhyEIcXvFDDmJ	68.118.239.17	7/13/15 19:07	7/13/15 19:13	1	1	2	1	3	1	0	0	0	1	0	0	1	0	1	1	0	3	2	22	1524	1524	White European	1	0		6	9	1	4	3		3	4	3	4	4	4	4	2	4	4	4	4	3	3	4	4	3	3	4	2	2	2	2	3.8	3.83	2	4	3.5		42.19549561	-71.84629822
R_6PxAP7IAnkSd1tj	100.0.77.98	7/26/15 20:54	7/26/15 21:05	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	22	1527	1527	White European	1	0		6	7	1	4	1		2	5	4	3	4	4	2	3	2	4	4	4	4	2	3	4	3	2	5	3	2	3	1	4	3.67	2.25	3	2.5	"As someone who loves the ocean/beach, I enjoyed this survey and was happy to give my input on these questions."	42.19119263	-71.77890015
R_9t82UbQHVZ87Bqd	68.187.235.216	7/10/15 14:19	7/10/15 14:25	1	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	21	1527	1527	White European	1	0		4	6	5	4	3		3	4	5	5	4	4	4	5	5	5	4	5	2	4	4	4	5	1	5	2	2	3	1	4.4	3.83	2	3.33	3		42.17610168	-71.59999847
R_cBKCSlPlA2I42qx	100.0.77.231	7/11/15 12:54	7/11/15 13:08	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	32	1527	1527	White European	1	0		6	9	1	4	1		4	4	5	4	5	2	2	4	5	3	2	5	4	2	4	3	4	2	4	3	3	3	2	4	3	2.75	3	3.5		42.19119263	-71.77890015
R_6eWLlRj99hivOEl	66.189.82.99	7/20/15 10:48	7/20/15 11:03	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	1	5	2	40	1532	1532	White European	1	0		5	4	2	4	3		3	2	2	2	1	2	1	2	2	4	2	4	5	1	5	5	2	2	4	3	3	3	2	1.8	3.67	2.75	3	3		42.33859253	-71.85310364
R_d4gxMC1tfFzsB1j	68.187.239.21	7/11/15 20:15	7/11/15 20:26	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	30	1534	1534	White European	1	0		7	1	3	4	3		4	5	4	5	5	5	3	4	4	4	3	5	3	3	4	5	4	1	5	3	3	4	2	4.8	3.67	3	3.33	3		42.13580322	-71.64309692
R_54lJ0DwiDgQkmzz	75.143.27.122	7/16/15 7:40	7/16/15 7:46	1	1	2	1	3	1	0	0	0	1	0	0	1	0	1	1	0	4	1	23	1536	1536	White European	1	0		7	1	5	4	1		3	5	5	5	4	5	2	5	5	5	5	5	4	2	5	5	5	1	5	2	1	1	1	4.8	4.33	1.25	2.67	3		42.12440491	-71.66529846
R_eICzmsyOuWZXJ9X	66.189.30.139	7/10/15 14:51	7/10/15 15:13	1	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	66	1543	1543	White European	1	0		3	2	6	4	1		5	5	5	5	5	4	3	4	4	4	4	4	3	3	5	4	5	2	5	2	2	3	1	4.8	4	2	3	2.5	Thought provoking survey ...	42.28570557	-71.82920074
R_eGbQ71Hj5U4bhml	68.185.125.129	7/27/15 17:58	7/27/15 18:06	1	1	1	1	3	1	0	0	0	1	0	0	0	0	1	0	0	5	1	24	1569	1569	American Indian or Alaska Native 	1	0		6	3	1	4	3		1	4	4	4	4	4	4	4	4	4	4	5	4	2	4	4	4	2	4	1	1	1	1	4	3.67	1	3.67	3		42.11929321	-71.85440063
R_25g5cHZf8qidvg1	75.143.27.67	7/24/15 9:32	7/24/15 9:38	1	1	2	1	3	1	0	0	0	0	0	0	0	0	0	1	0	3	2	19	1581	1581	White European	1	0		4	11	5	4	3		4	4	3	5	3	4	3	4	3	3	4	5	4	2	4	4	4	4	5	2	1	1	3	3.8	4	1.75	3.33	2.5		42.12440491	-71.66529846
R_6fHtAi514WJaiGx	24.241.16.160	7/23/15 8:03	7/23/15 8:10	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	22	1585	1585	White European	1	0		2	6	2	4	5		4	5	4	4	5	5	4	4	4	5	4	5	3	3	4	5	4	2	5	2	2	3	1	4.6	4.17	2	3.67	3		42.05439758	-71.75479889
R_9S3apTJcJ7QG6Rn	24.241.16.160	7/12/15 6:22	7/12/15 6:33	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	22	1585	1585	White European	1	0		2	6	3	4	5		4	5	4	4	4	5	3	4	3	5	3	5	3	3	4	5	3	2	5	2	1	3	1	4.4	4	1.75	3.33	3		42.06280518	-71.64369965
R_0BbFw5YG2F7Lzmt	172.56.22.211	7/23/15 11:29	7/23/15 11:42	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	31	1601	1601	White European	1	0		5	6	1	5	1		1	4	3	4	3	4	3	4	4	4	4	4	4	2	4	4	4	2	5	1	1	1	2	3.6	3.83	1.25	3	3		42.30589294	-71.08589935
R_8IghlH19w1pw4uh	71.89.10.84	7/11/15 12:43	7/11/15 12:51	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	2	23	1602	1602	White European	1	0		4	5	2	4	1		3	5	4	5	5	5	2	4	4	5	4	4	4	2	4	5	4	2	4	3	2	4	2	4.8	4	2.75	2.67	3		42.28930664	-71.79440308
R_eFGDA9b5iFUkOIB	68.184.42.147	7/16/15 18:22	7/16/15 18:31	1	1	2	1	2	0	0	0	1	1	0	0	1	0	0	0	0	3	1	22	1603	1603	White European	1	0		5	6	5	4	3		4	4	4	3	3	4	2	3	2	4	4	4	4	2	3	4	3	4	4	3	2	4	2	3.6	3.83	2.75	3	2.5		42.31539917	-71.9292984
R_0cR05LOhW7P7qIJ	75.143.58.103	7/16/15 17:29	7/16/15 17:37	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	34	1607	1607	White European	1	0		4	4	1	4	3		2	5	4	5	4	4	4	5	4	4	4	5	3	3	3	3	5	3	4	3	3	5	2	4.4	3.5	3.25	3.33	2.5		42.24229431	-71.80989838
R_9KWMsZb0bZjK4Pb	64.17.30.244	7/10/15 14:15	7/10/15 14:30	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	35	1608	1608	White European	1	0		3	6	2	4	1		3	4	4	5	4	4	4	5	5	5	4	5	4	2	5	5	5	2	5	1	1	1	2	4.2	4.33	1.25	3.33	3		37.37890625	-108.2815018
R_5Bzvn7OZ1Ql7D1z	24.151.122.222	7/23/15 21:56	7/23/15 22:07	1	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2	28	1610	1610	White European	1	0		4	3	5	4	3		1	3	4	4	4	4	4	4	4	4	3	5	3	3	4	4	4	4	4	1	2	2	1	3.8	3.83	1.5	3.67	3		42.28930664	-71.79440308
R_2ajvFuQFZExQl3n	73.40.183.122	7/21/15 20:25	7/21/15 20:39	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	21	1720	1720	White European	1	0		4	2	3	4	3		4	5	5	4	4	4	4	4	4	4	5	5	3	3	5	5	5	1	5	1	1	3	1	4.4	4.17	1.5	3.67	2.5		40.97079468	-80.3010025
R_7Vhp1Tuopm40rFX	98.216.86.25	7/26/15 21:08	7/26/15 21:23	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	1	45	1721	1721	Middle Eastern	0	0		6	5	1	4	3		2	4	4	5	4	5	3	5	5	3	4	5	2	4	5	4	5	1	5	2	2	2	3	4.4	3.67	2.25	3	3		42.25959778	-71.47029877
R_eIPK6Ya5MMXPrhP	73.38.92.249	7/11/15 20:21	7/11/15 20:29	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	36	1742	1742	White European	1	0		7	6	1	4	3		3	5	4	5	4	4	2	4	4	4	4	5	5	1	5	5	4	2	4	1	1	3	1	4.4	4	1.5	3	3	None	42.45860291	-71.35970306
R_6tKvYgpRwpGKYIJ	73.182.215.3	7/13/15 17:31	7/13/15 17:38	1	1	1	1	3	1	0	0	0	1	0	0	0	0	0	1	0	4	1	19	1747	1747	Middle Eastern	1	0		4	11	5	4	3		2	4	4	4	5	5	2	1	4	5	5	5	3	3	3	4	3	2	5	2	2	3	2	4.4	4	2.25	4	3.5		42.03959656	-71.53050232
R_86RtqwQWvDwihUN	24.91.61.58	7/10/15 18:23	7/10/15 18:33	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	5	1	43	1752	1752	White European	1	0		7	7	1	4	3		4	4	5	5	3	5	4	4	5	4	4	5	3	3	4	4	5	1	4	2	2	3	2	4.4	3.5	2.25	3.67	3	none	42.34579468	-71.55059814
R_b7yL1FIXdxsd6OF	198.232.29.232	7/13/15 12:38	7/13/15 12:46	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	26	1760	1760	White European	0	1	White	6	5	1	4	3		3	4	4	4	4	2	2	2	3	4	4	5	3	3	4	4	3	4	4	3	2	4	1	3.6	4	2.5	3.67	3		42.28729248	-71.35240173
R_eVfldsb7MdgwbOJ	173.48.134.156	7/26/15 12:21	7/26/15 12:44	1	1	1	1	3	1	0	0	0	1	0	0	1	0	0	1	0	3	2	35	1776	1776	White European	1	0		7	8	1	4	3		3	4	2	3	4	3	2	4	3	4	4	4	4	2	3	4	2	3	4	3	2	3	3	3.2	3.67	2.75	2.67	3.5	N/A	42.38879395	-71.42250061
R_0jo1GHSPQ9TFfY9	76.24.238.24	7/27/15 8:32	7/27/15 8:42	1	1	2	2	3	1	0	0	0	1	0	0	1	0	0	1	0	4	1	28	1801	1801	Asian	0	0		6	7	3	4	3		2	4	4	4	5	3	2	4	4	5	3	5	4	2	3	3	5	1	5	3	2	4	1	4	3.33	2.5	3	2.5		42.48970032	-71.15950012
R_bJc9am6sm9ajtHf	50.201.255.38	7/27/15 5:10	7/27/15 5:15	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	30	1801	1801	White European	1	0		6	6	1	5	3		3	4	4	4	4	5	3	4	4	4	4	5	2	4	4	4	4	3	4	2	2	3	2	4.2	3.83	2.25	3.33	3		41.96090698	-71.18039703
R_3mkdqQYUUok7oEZ	24.34.108.0	7/24/15 8:20	7/24/15 8:34	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	4	2	60	1803	1803	White European	1	0		7	8	1	4	3		3	5	5	5	4	5	4	4	5	4	4	5	4	2	5	5	5	2	5	2	1	3	2	4.8	4.17	2	3.67	3	I enjoyed it very much.  Good luck!	42.53349304	-71.10359955
R_cRV5ic7cdPwDd1X	171.98.252.191	7/26/15 23:52	7/27/15 0:25	1	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	1	5	1	35	1803	1803	Asian	0	0		3	6	2	4	2		2	1	5	2	2	2	1	2	4	4	5	2	4	2	3	5	3	1	3	2	3	5	2	2.4	3.5	3	2.33	3.5		18.79029846	98.98168945
R_7ZI9nBbS8V8jeq9	73.40.51.175	7/11/15 9:43	7/11/15 9:49	1	2	3	2	2	0	0	1	1	0	1	1	1	0	0	0	0	3	1	25	1810	1810	White European	1	0		6	2	5	4	3		2	5	4	4	3	4	3	4	4	4	4	4	4	2	3	4	5	2	4	3	3	4	3	4	3.5	3.25	3	2.5		37.61920166	-77.4960022
R_bPWsuZu6tR2NS17	72.74.142.32	7/11/15 19:08	7/11/15 19:16	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	39	1810	1810	White European	1	0		6	9	1	4	1		3	4	4	4	4	3	2	3	3	4	3	5	3	3	2	3	4	3	5	4	3	5	2	3.8	3.33	3.5	3.33	2.5		42.64889526	-71.16549683
R_5nbEs2ZclGiccqp	108.20.48.126	7/14/15 8:05	7/14/15 8:15	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	4	1	23	1824	1824	Asian	0	0		6	3	1	4	2		3	5	4	4	5	4	2	1	4	4	2	4	4	2	2	4	5	4	5	3	3	5	2	4.4	3.5	3.25	3.67	2.5		42.58790588	-71.34980011
R_9ZAsE9UBgdjlYgt	73.143.111.237	7/22/15 12:52	7/22/15 13:11	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	34	1824	1824	White European	1	0		7	9	2	4	5		4	4	4	4	4	4	4	4	3	4	2	5	4	2	3	4	3	4	4	4	3	5	3	4	3.5	3.75	3.67	3		42.63389587	-71.29570007
R_38BQM8ojvtQfXVP	68.226.88.249	7/15/15 14:04	7/15/15 14:12	1	1	2	1	3	1	0	0	1	1	0	1	1	0	0	1	0	3	1	18	1826	1826	Asian	0	0		3	7	5	4	3		4	5	4	4	5	5	2	3	4	5	4	5	4	2	4	3	3	2	5	2	3	4	1	4.6	3.83	2.5	3.33	3.5		41.83790588	-71.39320374
R_77BfnjlVOWOW1y5	76.23.238.147	7/12/15 18:43	7/12/15 18:50	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	3	2	39	1830	1830	White European	1	0		6	8	1	4	3		2	4	5	5	4	4	3	5	5	5	4	5	2	4	5	5	4	2	4	3	2	3	2	4.4	4.17	2.5	3	3.5	No comments.	42.75300598	-71.08609772
R_0dENC7slP3a5Rd3	50.198.83.89	7/17/15 10:55	7/17/15 11:03	1	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	2	1	29	1844	1844	White European	1	0		5	6	1	4	3		2	4	4	3	4	4	2	2	3	4	4	5	3	3	4	3	4	2	4	4	2	4	2	3.8	3.5	3	3.67	2.5	Interesting!	42.27929688	-71.24500275
