ResponseID,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,first_of_many,gender,age,zip_code,Amer_Ind,Asian,Black,Hispanic,Island,Middle_East,North_African,White,Other,Other_text,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,seen_turb,WP_US,wp_state,likely_cst_ec,attention_att
R_5i0au36wPN2VtJ3,1,0,1,0,1,1,1,0,1,More likely to support,Female,44,1020,0,0,0,0,0,0,0,White European,0,,High school graduate,"Less than $10,000",Student,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,n/a,42.19259644,-72.45980072,75.134.241.240,7/11/15 9:58,7/11/15 10:07,Yes,Positive,Not sure,No difference,None of the Above
R_bfs8r8hkPXkEJGl,1,0,1,1,1,0,0,0,1,No effect on my attitude,Male,38,3452,American Indian or Alaska Native ,0,0,0,0,0,0,White European,0,,Associate degree,"Less than $10,000",Out of work,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Stongly Disagree,Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",Good survey!,42.86650085,-71.96050262,50.176.214.154,7/11/15 10:16,7/11/15 10:29,Yes,Very positive,Encouraged,More likely,None of the Above
R_2t3UDaqQVWHDjvf,1,0,1,1,1,1,0,0,1,No effect on my attitude,Female,44,2128,0,0,0,0,0,0,0,White European,0,,Associate degree,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",MT ID # A1S4U8K21USI9A,42.32209778,-71.13339996,108.20.0.165,7/11/15 10:58,7/11/15 11:08,Yes,Very positive,Encouraged,No difference,None of the Above
R_8IghlH19w1pw4uh,1,0,0,2,2,0,2,2,1,Much more likely to support,Male,23,1602,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Agree,Agree,Strongly Agree,Disagree,Stongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.28930664,-71.79440308,71.89.10.84,7/11/15 12:43,7/11/15 12:51,Yes,Very positive,Encouraged,No difference,None of the Above
R_dnCWkQjzaAdOzxb,1,0,1,2,1,0,1,2,1,No effect on my attitude,Male,60,2190,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$75,000-$99,999",Out of work,"Yes, I am an MT worker ",Republican party,,"Sometimes, 10-20 times/year",Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Stongly Disagree,Agree,Stongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,ty,42.20680237,-70.9552002,24.91.33.206,7/11/15 14:07,7/11/15 14:16,Yes,Very positive,Encouraged,No difference,None of the Above
R_bybYkahi5ayo1ox,1,0,1,1,1,1,0,0,1,No effect on my attitude,Female,53,2050,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Stongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Stongly Disagree,Strongly Agree,Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean","I'm still so unsure of the wind turbines.  I dislike the look, that is for sure and see more and more on land.  I think I'd rather not have them in the ocean, although we do have great wind here! /  / All the best with your research.",42.11120605,-70.71269989,50.189.242.217,7/11/15 15:18,7/11/15 15:33,Yes,Neutral,Tolerated,Less likely    ,None of the Above
R_ekEg6o8P5Tlsx6d,1,0,1,2,2,0,2,2,1,More likely to support,Male,34,3857,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$150,000-$174,999",Employed for wages,"Yes, I am an MT worker ",None,,"Rarely, 1-5 times/year",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,,42.96609497,-70.98809814,75.67.99.121,7/11/15 19:42,7/11/15 19:54,Yes,Positive,Tolerated,No difference,0
R_eOHNNDC7HcZ8szr,1,0,0,0,0,0,1,1,1,No effect on my attitude,Male,31,2446,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.32209778,-71.13339996,209.6.131.193,7/11/15 21:23,7/11/15 21:28,Yes,Very positive,Encouraged,No difference,0
R_9sQEsdc3WvjJmFD,1,0,0,2,2,0,2,2,1,No effect on my attitude,Male,46,1060,0,0,0,0,0,0,0,0,Other (specify),human,Bechelor degree,"$35,000-$49,999",Self-employed,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Stongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,,42.32940674,-72.69390106,71.192.38.159,7/12/15 5:23,7/12/15 5:39,Yes,Neutral,Tolerated,No difference,None of the Above
R_9XroaYNZJfDoqGN,1,0,0,0,1,0,1,1,1,More likely to support,Female,33,1921,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$50,000-$74,999",A homemaker ,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,Good survey!,42.06280518,-71.64369965,71.10.248.61,7/12/15 7:55,7/12/15 8:01,Yes,Positive,Tolerated,Less likely    ,None of the Above
R_2co2HL7fSkRYHYN,1,0,1,1,1,0,0,0,1,No effect on my attitude,Female,38,6066,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$125,000-$149,000",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Disagree,Strongly Agree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,41.83650208,-72.46320343,32.212.217.147,7/12/15 12:22,7/12/15 12:29,Yes,Very positive,Encouraged,No difference,None of the Above
R_4VN278d6PHU55eB,1,0,1,2,1,0,2,0,1,Much more likely to support,Male,20,6010,0,Asian,0,0,0,0,0,0,0,,Bechelor degree,"$15,000-$24,999",Student,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.28570557,-71.82920074,66.189.117.183,7/12/15 13:16,7/12/15 13:22,Yes,Very positive,Encouraged,More likely,None of the Above
R_4Obwgz5yXr8Q3RP,1,0,1,2,2,0,0,2,1,No effect on my attitude,Female,28,2895,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Agree,Disagree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Stongly Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,41.9980011,-71.49410248,71.117.150.152,7/12/15 13:40,7/12/15 13:50,Yes,Very positive,Encouraged,No difference,None of the Above
R_6JRf3ZMco16QsSN,1,0,1,1,0,0,1,0,0,More likely to support,Male,25,6450,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Republican party,,"Every now and then, 5-10 times/year",Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,,41.83940125,-73.12550354,24.191.226.6,7/12/15 14:28,7/12/15 14:34,No,Very positive,Encouraged,No difference,None of the Above
R_9KxPOB0jpRJu8WF,1,0,1,1,1,0,0,0,1,Much more likely to support,Female,26,6340,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$35,000-$49,999",A homemaker ,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,41.35319519,-72.03859711,73.186.163.89,7/12/15 17:00,7/12/15 17:11,No,Very positive,Encouraged,More likely,None of the Above
R_bpvitqE4cXBkRKd,1,0,1,2,1,0,1,0,1,More likely to support,Male,30,2830,0,0,0,0,0,0,0,White European,0,,High school graduate,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,-99,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",Great survey! Thanks!,41.9730072,-71.64219666,68.14.66.149,7/12/15 18:05,7/12/15 18:14,Yes,Very positive,Encouraged,No difference,None of the Above
R_el22tcAF8oylTmJ,1,0,1,1,1,0,0,0,1,Much more likely to support,Female,38,2370,0,0,0,0,0,0,0,White European,0,,High school graduate,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.50509644,-71.20469666,157.93.242.51,7/13/15 6:29,7/13/15 6:35,Yes,Very positive,Encouraged,Much more likely,None of the Above
R_cPadPm027lzVned,1,0,1,0,0,0,0,0,1,Much more likely to support,Male,30,4357,0,0,0,0,0,0,0,White European,0,,Associate degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,44.12339783,-69.83190155,74.65.133.194,7/13/15 7:27,7/13/15 7:39,Yes,Very positive,Encouraged,No difference,None of the Above
R_3mxEEvGPnogvQKp,1,0,1,1,1,0,2,0,1,No effect on my attitude,Female,22,3087,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"Less than $10,000",Student,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Stongly Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.76179504,-71.41190338,75.68.31.124,7/13/15 8:19,7/13/15 8:33,Yes,Very positive,Encouraged,No difference,None of the Above
R_1FzXdFvpLcrq56J,1,0,0,2,2,0,0,2,1,No effect on my attitude,Male,28,2215,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$35,000-$49,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Every now and then, 5-10 times/year",Strongly Agree,Disagree,Strongly Agree,Disagree,Stongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.33659363,-71.07260132,209.6.156.209,7/13/15 12:45,7/13/15 12:56,Yes,Very positive,Encouraged,No difference,None of the Above
R_2udElqUm8L6HSGF,1,0,1,1,1,0,0,0,1,No effect on my attitude,Female,38,1938,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$50,000-$74,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,42.68249512,-70.84700012,96.237.241.104,7/13/15 15:38,7/13/15 15:50,Yes,Very positive,Encouraged,No difference,None of the Above
