ID,Block,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,ResponseID,first_of_many,gender,age,zip_code,Amer_Ind,Asian,Black,Hispanic,Island,Middle_East,North_African,White,Other,Other_text,education,income,employment,attention2,pol_party,pol_party_other,freq_rec,nat_air_water,tech_sol,hum_abuse,balance_nat,ecol_crisis,nat_res,spaceship,hum_right,ecol_cat,lose_hab,plants_and_an,resp_harm,impact_dec,who_I_am,health_nat,think_wild,place_comm,citizen_care,family,identify,hum_elsewhere,feedback,lat,long,IPAddress,StartDate,EndDate,oper,att_w_US,const_st,wf_rec,attention_att
236,3,0,0,1,1,0,0,0,1,R_0dENC7slP3a5Rd3,Less likely to support,Female,29,1844,0,0,0,0,0,0,0,White European,0,,Associate degree,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",Interesting!,42.27929688,-71.24500275,50.198.83.89,7/17/15 10:55,7/17/15 11:03,Yes,Very positive,Tolerated,No difference,None of the Above
115,2,1,1,0,2,1,1,1,2,R_0DMHiyIBCc8lqvj,No effect on my attitude,Female,24,53719,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Agree,Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Stongly Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,43.02859497,-89.51809692,66.191.89.81,7/11/15 14:26,7/11/15 14:33,Yes,Very positive,Encouraged,No difference,None of the Above
288,3,1,0,1,1,0,0,0,1,R_0DnMj6rXovPR6NT,Less likely to support,Female,45,2648,0,0,0,0,0,0,0,White European,0,,Associate degree,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,41.66130066,-70.29879761,72.93.11.224,7/17/15 12:58,7/17/15 13:19,Yes,Neutral,Prohibited,No difference,None of the Above
253,3,0,0,1,1,0,0,1,1,R_0DNRjAxdsB6W4jX,More likely to support,Female,22,2720,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Stongly Disagree,Neither Agree nor Disagree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,41.67340088,-71.15110016,76.24.76.60,7/21/15 20:16,7/21/15 20:25,No,Very positive,Tolerated,No difference,None of the Above
196,3,0,0,1,1,1,0,0,1,R_0eVImlwn2BEANIF,No effect on my attitude,Female,38,6488,0,0,0,0,0,0,0,White European,0,,High school graduate,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Stongly Disagree,Agree,Agree,Stongly Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,41.46749878,-73.24060059,75.133.103.85,7/11/15 7:00,7/11/15 7:23,No,Positive,Encouraged,No difference,None of the Above
260,3,0,1,1,1,0,0,0,1,R_0fEAnZ0L0SnIgdv,No effect on my attitude,Male,27,3104,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$75,000-$99,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",Very clear easy to understand survey,42.94030762,-71.4434967,107.3.84.164,7/22/15 20:12,7/22/15 20:25,Yes,Very positive,Tolerated,No difference,0
262,3,0,0,1,1,0,0,0,1,R_0HbxWvLhImRT7IV,No effect on my attitude,Female,25,2144,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",no,42.38279724,-71.09549713,209.6.52.4,7/23/15 11:03,7/23/15 11:17,Yes,Positive,Tolerated,No difference,None of the Above
249,3,0,0,1,1,0,0,0,1,R_0HTlmcKe5FrddvT,More likely to support,Female,40,6111,0,Asian,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,41.80799866,-72.25099945,137.99.172.147,7/21/15 11:57,7/21/15 12:05,Yes,Very positive,Encouraged,No difference,0
287,3,1,0,1,1,0,0,0,1,R_0HzpeHxYFAbzwqN,Much more likely to support,Male,20,2895,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Rarely, 1-5 times/year",Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,-99,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",n/a,41.9980011,-71.49410248,72.209.59.61,7/15/15 16:19,7/15/15 16:28,Yes,Very positive,Encouraged,More likely,0
261,3,0,0,0,0,0,0,0,1,R_0iHp12NIO4D2gMl,No effect on my attitude,Female,27,2130,0,0,0,0,0,0,0,White European,0,,High school graduate,"$25,000-$34,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.2848053,-71.07409668,209.104.229.166,7/23/15 7:29,7/23/15 8:16,Yes,Very positive,Encouraged,No difference,None of the Above
205,3,0,0,1,1,0,0,0,1,R_0iY9dELpvzn4Kih,More likely to support,Female,20,6281,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$175,000-$199,999",Student,"Yes, I am an MT worker ",Republican party,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,41.9691925,-72.01470184,96.32.50.28,7/12/15 9:12,7/12/15 9:19,Yes,Positive,Encouraged,No difference,None of the Above
368,4,0,1,0,1,0,1,1,1,R_0j3xYhj7RdPLFwp,More likely to support,Female,28,3868,0,0,0,0,0,0,0,White European,0,,High school graduate,"$50,000-$74,999",Self-employed,"Yes, I am an MT worker ",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Stongly Disagree,Disagree,Strongly Agree,Stongly Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"No, this is <strong>very unlike </strong>how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,43.30290222,-71.04599762,173.44.81.66,7/26/15 20:44,7/26/15 20:50,No,Very positive,Encouraged,No difference,None of the Above
75,1,0,1,0,1,0,0,0,1,R_0jo1GHSPQ9TFfY9,More likely to support,Female,28,1801,0,Asian,0,0,0,0,0,0,0,,Bechelor degree,"$75,000-$99,999",Out of work,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Stongly Disagree,Neither Agree nor Disagree,Strongly Agree,"Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,42.48970032,-71.15950012,76.24.238.24,7/27/15 8:32,7/27/15 8:42,Yes,Positive,Tolerated,No difference,0
310,4,0,1,0,2,0,1,1,1,R_0k7FkHKRojtTMup,More likely to support,Female,34,1507,0,0,0,0,0,0,0,White European,0,,Some college credit ,"Less than $10,000",Out of work,"Yes, I have done many HITs",Democratic party,,"Every now and then, 5-10 times/year",Strongly Agree,Agree,Agree,Stongly Disagree,Stongly Disagree,Disagree,Agree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",,42.19549561,-71.84629822,68.185.118.159,7/11/15 13:39,7/11/15 13:51,No,Very positive,Encouraged,No difference,None of the Above
217,3,0,0,1,1,1,0,0,1,R_0lK5HskKZ1QhchL,Much more likely to support,Female,26,6770,0,0,0,0,0,0,0,White European,0,,Some college credit ,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",None,,"Every now and then, 5-10 times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Stongly Disagree,Agree,Stongly Disagree,Strongly Agree,Strongly Agree,Stongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,41.48779297,-73.06269836,73.4.191.205,7/13/15 16:59,7/13/15 17:07,No,Very positive,Encouraged,No difference,0
399,4,1,2,1,0,1,2,1,1,R_0Mp0vazEMGmusrH,No effect on my attitude,Female,66,4496,0,0,0,0,0,0,0,White European,0,,Associate degree,"$25,000-$34,999",Retired,"Yes, I am an MT worker ",None,,Never,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,44.65899658,-68.91999817,74.65.164.75,7/27/15 8:40,7/27/15 8:46,No,Neutral,Tolerated,No difference,None of the Above
3,1,0,1,1,1,0,0,0,1,R_0N8eYana0RLX9UF,No effect on my attitude,Female,25,2171,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Frequently, 20+ times/year",Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Stongly Disagree,Stongly Disagree,Agree,Strongly Agree,Stongly Disagree,Strongly Agree,-99,Strongly Agree,Strongly Agree,Stongly Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",Thank you,40.41690063,-74.25789642,208.167.254.240,7/10/15 15:08,7/10/15 15:24,Yes,Positive,Encouraged,No difference,None of the Above
350,4,0,1,0,1,0,0,1,1,R_0NeD22cad3dbpvn,No effect on my attitude,Female,51,28212,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$15,000-$24,999",Employed for wages,"Yes, I am an MT worker ",Independent,,"Rarely, 1-5 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,This is <strong>somewhat like</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",No feedback at this time. ,35.186203,-80.74790192,71.68.123.101,7/20/15 15:22,7/20/15 15:36,No,Very positive,Encouraged,No difference,None of the Above
360,4,0,0,0,1,0,1,1,0,R_0NiiDA0LUqBKurP,Much more likely to support,Male,19,6810,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$50,000-$74,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Agree,Strongly Agree,Stongly Disagree,Stongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat unlike</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean",,41.37809753,-73.46910095,32.212.160.106,7/25/15 13:12,7/25/15 13:18,No,Very positive,Encouraged,Less likely    ,0
213,3,0,0,1,1,0,0,0,1,R_0NRtMV8VBYoLZpb,More likely to support,Male,28,3833,0,0,0,0,0,0,0,White European,0,,Bechelor degree,"$10,000-$14,999",Student,"Yes, I am an MT worker ",Independent,,"Sometimes, 10-20 times/year",Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>like</strong> how I think about the ocean","Yes, this is <strong>very much like</strong> how I think about the ocean",,42.96609497,-70.98809814,50.169.220.111,7/13/15 8:25,7/13/15 8:35,Yes,Positive,Tolerated,No difference,None of the Above
283,3,1,0,1,1,0,0,1,1,R_0oGsLWMorV4Bk1f,No effect on my attitude,Male,44,2143,0,0,0,0,0,0,0,White European,0,,Graduate degree or Professional degree ,"$100,000-$124,999",Employed for wages,"Yes, I am an MT worker ",Democratic party,,"Sometimes, 10-20 times/year",Strongly Agree,Disagree,Agree,Disagree,Stongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Stongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,"Yes, this is <strong>very much like</strong> how I think about the ocean","Yes, this is <strong>like</strong> how I think about the ocean",This is <strong>somewhat like</strong> how I think about the ocean,"Yes, this is <strong>very much like</strong> how I think about the ocean",,42.38000488,-71.13289642,50.133.223.73,7/12/15 11:02,7/12/15 11:10,Yes,Very positive,Encouraged,No difference,None of the Above
