ResponseID,type_mean,con_mean
R_1OhvFkVJPErdUc5,mean_nep,3.8
R_1YowFFJnbj4Cn09,mean_nep,5
R_3BHxg7xEcXZrZMF,mean_nep,4.2
R_3IqlfNx2hfYxxnD,mean_nep,5
R_40XchjhEy0nAmxL,mean_nep,2.8
R_4My9hc6sFmvKdBH,mean_nep,3.6
R_8c8AuB5J2crS6Il,mean_nep,3.2
R_8wee3dWnHR6iKBT,mean_nep,4.2
R_9zd9Kp835bJG3ml,mean_nep,4
R_cuuehDPFDRuBWxn,mean_nep,5
R_dhTsDTwirdNCXGZ,mean_nep,3
R_0p6vxKxaLOM0Vox,mean_nep,4.2
R_2f4bEgPRKzRiTNX,mean_nep,4.4
R_2iqXzNJaW9GXSdL,mean_nep,2.8
R_3r4vrsx373Jhgkl,mean_nep,4.4
R_4VN278d6PHU55eB,mean_nep,5
R_5jdQhnCqlYQYnZj,mean_nep,4.4
R_5nbEs2ZclGiccqp,mean_nep,4.4
R_5nkEqpFxUMekQIt,mean_nep,2.8
R_9YqueA12icepNPv,mean_nep,3.4
R_afSxZEcJmbBhUgJ,mean_nep,4.2
R_cRV5ic7cdPwDd1X,mean_nep,2.4
R_eaDEHuW687d6R37,mean_nep,4.4
R_er3efIHEv8lfgah,mean_nep,3.2
R_etD12acTHVo6w9T,mean_nep,3
R_ezFAqUG11Mqi0v3,mean_nep,5
R_8ohSCJwYDSbirQN,mean_nep,3.4
R_8xn6ieyQM4RCCl7,mean_nep,3
R_9sQEsdc3WvjJmFD,mean_nep,1.8
R_9Y7hZzEPId65hJj,mean_nep,3.8
R_b7b4q1XNdpUpzed,mean_nep,2
R_b7yL1FIXdxsd6OF,mean_nep,3.6
R_b9PimRqCXlZZPuZ,mean_nep,2.8
R_e4e09Tf648CkLAx,mean_nep,3.4
R_eQKQFE1A856u3Pv,mean_nep,3
R_7TFdGWuq4yWiVvv,mean_nep,3.8
R_24SCiMOX1WrmTwV,mean_nep,4.8
R_6tKvYgpRwpGKYIJ,mean_nep,4.4
R_eGbQ71Hj5U4bhml,mean_nep,4
R_0HTlmcKe5FrddvT,mean_nep,5
R_02Il4uscqNJuWBT,mean_nep,4.6
R_03dxZHgSxRRcU7P,mean_nep,4.4
R_0fEAnZ0L0SnIgdv,mean_nep,4.8
R_0HzpeHxYFAbzwqN,mean_nep,3.8
R_0lK5HskKZ1QhchL,mean_nep,4.2
R_0NiiDA0LUqBKurP,mean_nep,4.4
R_1XqfUEl4ZyIabvT,mean_nep,2.8
R_25g5cHZf8qidvg1,mean_nep,3.8
R_25JOudIl1Bb2gOV,mean_nep,3.2
R_3BPG1iRB2SAYv53,mean_nep,2.6
R_3jIaGS3rqT5KQ29,mean_nep,4.2
R_3mGJtMvjXL4RzEx,mean_nep,4.2
R_3sLyrCKhUEA5iPr,mean_nep,4.4
R_3Vjsp8uIcWjkMlL,mean_nep,4
R_42AOFcD8mMn1sNv,mean_nep,4.8
R_4IthKmgHNSfijaZ,mean_nep,3
R_4YM3Z11a6BePDaB,mean_nep,3.8
R_54GKsJiZ7KDpbcp,mean_nep,4.2
R_54lJ0DwiDgQkmzz,mean_nep,4.8
R_54pfYynpEFAvPwx,mean_nep,4.4
R_5vFl5h1swraARmd,mean_nep,4.4
R_6fiXZOdlZ67ceNL,mean_nep,4.4
R_6loeHiF2QwQm0QJ,mean_nep,5
R_6PxHJBxOhJQc4It,mean_nep,2
R_6rEMPZ6jxEWzWpn,mean_nep,4.4
R_6rQf5tvvvW00JQ9,mean_nep,3.8
R_74gDGFzRbg17jAV,mean_nep,3
R_78tNW32zHdAnvI9,mean_nep,4.6
R_7OI0txvPG1Ndt1r,mean_nep,2.8
R_7ZI9nBbS8V8jeq9,mean_nep,4
R_8A35Ep4FY0wNQmV,mean_nep,4.2
R_8vuug6voyuSHjpP,mean_nep,3.8
R_9B2xLMemFgPDDal,mean_nep,3.8
R_afQYvLDxQTVIUQd,mean_nep,4.8
R_ahrfMvYyioFro33,mean_nep,4
R_aYurtBVHOkIhPwh,mean_nep,2
R_b2x0tNPKzE8S4Qt,mean_nep,4.8
R_b8HhyEIcXvFDDmJ,mean_nep,3.8
R_bHq0aU04Fz4brO5,mean_nep,4.8
R_bNNE9KpWzq1Sy7X,mean_nep,4.8
R_bOYzr86DXvb249n,mean_nep,4.8
R_bpA2x94xv8xhjhz,mean_nep,3
R_bwHCL0bvTztLLql,mean_nep,2.4
R_cOYcEKS94gT6lWR,mean_nep,4.6
R_dbzwnErp9TWhYTr,mean_nep,3.6
R_e3P6K5pln04v8fb,mean_nep,4.6
R_eDqbEJUdasHpmU5,mean_nep,3.2
R_eFGDA9b5iFUkOIB,mean_nep,3.6
R_eFOllh6lCCc3nkV,mean_nep,4.4
R_ekEg6o8P5Tlsx6d,mean_nep,3.2
R_eOHNNDC7HcZ8szr,mean_nep,3.4
R_eVfldsb7MdgwbOJ,mean_nep,3.2
R_3UiZ3C6VnxZkuDr,mean_nep,5
R_8BQwbFdBUl9Ps8t,mean_nep,4
R_0ca6ARQoBohPc5T,mean_nep,4.6
R_3siZnTX4069v11X,mean_nep,4.4
R_5zEwqQU3Nx8NxtP,mean_nep,4.4
R_7VtR7o43v3unfBr,mean_nep,2.6
R_3pDAcn1zkHA76NT,mean_nep,3.4
R_8ojl9YrzpZYuk4t,mean_nep,4.6
R_dbcXzQUhGqs7QSF,mean_nep,4.2
R_0jo1GHSPQ9TFfY9,mean_nep,4
R_2tMHEQd2vOXpeQt,mean_nep,4.4
R_38BQM8ojvtQfXVP,mean_nep,4.6
R_d3WFRxD01cWJHQp,mean_nep,3.8
R_9mpG8C9qo1cIqrz,mean_nep,3.4
R_0BbFw5YG2F7Lzmt,mean_rel,3.83
R_0k7FkHKRojtTMup,mean_rel,4
R_0wSgxCUGcd1bXKJ,mean_rel,4
R_3t9tMyEF2YZanwV,mean_rel,4.17
R_4JwwBo0IGilUEkd,mean_rel,3.5
R_6rN52dcPT1pH0wZ,mean_rel,4.5
R_7364pEfSwZbety5,mean_rel,4.33
R_bC8FdAK6vJZsX1r,mean_rel,3.83
R_bJc9am6sm9ajtHf,mean_rel,3.83
R_bOU9Q57g5l66dlX,mean_rel,3.67
R_d5o2FCPWWgtizcx,mean_rel,3.5
R_dgNSvO0l9aymLYx,mean_rel,4.33
R_eDSmf8RhthpwKTr,mean_rel,2.83
R_eLlIHaesAqsqFZX,mean_rel,3.67
R_eR5IEwHotx12nVb,mean_rel,3.17
R_5u22Vyg67iBFZVb,mean_rel,4
R_8J40FdkztWi0QAJ,mean_rel,3.67
R_eXmR1gv8hanVQAB,mean_rel,2.83
R_06Y0lnVBn4wxJ3L,mean_rel,3.17
R_07AGQOGDunwlNtj,mean_rel,4.17
R_0ccMuYX35uxjiHH,mean_rel,3.67
R_0CJgoxE736KONEh,mean_rel,4.17
R_0cR05LOhW7P7qIJ,mean_rel,3.5
R_0cuvRoyOulek00R,mean_rel,4.33
R_0dENC7slP3a5Rd3,mean_rel,3.5
R_0DMHiyIBCc8lqvj,mean_rel,3
R_0DnMj6rXovPR6NT,mean_rel,3.17
R_0DNRjAxdsB6W4jX,mean_rel,4.5
R_0eVImlwn2BEANIF,mean_rel,3.67
R_0HbxWvLhImRT7IV,mean_rel,2.83
R_0iHp12NIO4D2gMl,mean_rel,3.67
R_0iY9dELpvzn4Kih,mean_rel,3.67
R_0j3xYhj7RdPLFwp,mean_rel,3.17
R_0Mp0vazEMGmusrH,mean_rel,3.33
R_0N8eYana0RLX9UF,mean_rel,4
R_0NeD22cad3dbpvn,mean_rel,2.83
R_0NRtMV8VBYoLZpb,mean_rel,3.67
R_0oGsLWMorV4Bk1f,mean_rel,4
R_0PwlUujFg5mZFGJ,mean_rel,3.33
R_0qvNtw9fFcThH25,mean_rel,4.67
R_0TmUsFFK76t4dCZ,mean_rel,4
R_0vbLkr44iCanyK1,mean_rel,4.17
R_0vPMCZv5m2HGGiN,mean_rel,3.17
R_0Vuxzafv7zVAfIx,mean_rel,3.6
R_0VwcmZkYWSpWUAZ,mean_rel,3.5
R_1CebzxO1cVRmZql,mean_rel,3.33
R_1FiDWtIbMBT6AzH,mean_rel,3.83
R_1FzXdFvpLcrq56J,mean_rel,2.83
R_1GDT2JHtbi6pfet,mean_rel,3.83
R_1MlDClqRa9h7g5D,mean_rel,2.67
R_1NRgzUxHONK9Jtz,mean_rel,3.67
R_1RgdZ3Vv2lNWZYV,mean_rel,3
R_1Sb0LO16Jx5TcCV,mean_rel,4.5
R_1UmdGA1GogGWe5n,mean_rel,3.17
R_1XkWisNy2AsUpZH,mean_rel,3.17
R_244JNf9FXQ3l1Fr,mean_rel,4.17
R_244Quh8Fc3tsb0p,mean_rel,3.33
R_25g7WY80OPq9fHT,mean_rel,3.67
R_261uEZqFeKUH3AF,mean_rel,3
R_2ajvFuQFZExQl3n,mean_rel,4.17
R_2b1hdLIwKkoNip7,mean_rel,4
R_2co2HL7fSkRYHYN,mean_rel,3
R_2mcTLMyd4nfnWPX,mean_rel,3.83
R_2nuErdw9OW7GWiN,mean_rel,3.33
R_2t3UDaqQVWHDjvf,mean_rel,3.5
R_2tpYgwkvkSFK45L,mean_rel,3.67
R_2tWfXopTD51sAkt,mean_rel,4
R_2udElqUm8L6HSGF,mean_rel,4
R_2uhPW86zEamu8ap,mean_rel,3.17
R_37CtGcT1HWsBqGF,mean_rel,3
R_3Dw9IrzI1itpybr,mean_rel,3.5
R_3dybDH3gB3W6grX,mean_rel,3.67
R_3elaznfMNeSVX1j,mean_rel,4.4
R_3JiBpZ5qfHDbJtz,mean_rel,4
R_3K3bcpvjXtCH32B,mean_rel,3.83
R_3K4YYu69VKmc01n,mean_rel,2.5
R_3kM8DIimavIwNhj,mean_rel,4.33
R_3krtH3eq05A5Mpf,mean_rel,3.67
R_3LfDMnA3qEuedUx,mean_rel,4
R_3mAA8qe7emsvCbb,mean_rel,3.33
R_3mkdqQYUUok7oEZ,mean_rel,4.17
R_3mxEEvGPnogvQKp,mean_rel,3.67
R_3n6wJgesn7ivrbT,mean_rel,3.83
R_3OavzhNiGtTJt89,mean_rel,4
R_3qvo4fVxSy5Fk0Z,mean_rel,4.17
R_3RfTbBauwzdBfV3,mean_rel,2.83
R_3UTnT50f1jWpaF7,mean_rel,2.83
R_3vEn2mZxaExQxCJ,mean_rel,3.83
R_3vIN0Gt4GOykklL,mean_rel,3.4
R_3ViniLdqtYkUM1n,mean_rel,4.17
R_3VLGT3hUBDetMtT,mean_rel,3
R_3VnUbFlpfJ3Cl5H,mean_rel,3.83
R_3VOIs4RZ8lGlJjL,mean_rel,3.67
R_3W76O9yPDdwJxDD,mean_rel,3.83
R_41tJIld8tHgYVH7,mean_rel,3.5
R_4ME0EXGMx0uGEZv,mean_rel,3.33
R_4Obwgz5yXr8Q3RP,mean_rel,3.67
R_4T2ELhai4gkcMId,mean_rel,3.83
R_4UszAknxHX1fcMd,mean_rel,3.67
R_4Vhw34Ky39LASoZ,mean_rel,3.5
R_4Z0Y1kYXgWdDSf3,mean_rel,3.67
R_4ZLFXfUxyZAqyFf,mean_rel,4
R_4ZmRsf3Jg7xcJdH,mean_rel,5
R_50bTj8paHBwSlHD,mean_rel,3.5
R_55qQpaisGvSjSS1,mean_rel,4.33
R_56JZsLk5so0ia0Z,mean_rel,3.5
R_5ALEck3XOWIRRf7,mean_rel,3.67
R_5Ao3wv4u5dMDnvf,mean_rel,3.67
R_5bBg3UlRcT9zQXz,mean_rel,3.5
R_5BGLiu7ObeccajP,mean_rel,3.17
R_5Bzvn7OZ1Ql7D1z,mean_rel,3.83
R_5cGeZbsxb2e2HEF,mean_rel,4
R_5cKUhdhMsebiGlT,mean_rel,4
R_5dvDU4xC3PMBpUF,mean_rel,3.5
R_5i0au36wPN2VtJ3,mean_rel,2.67
R_5mMMkal0oe6JG1T,mean_rel,4.33
R_5ndSEURIN8H1bSJ,mean_rel,4.33
R_5nDu09Ohy36sjVr,mean_rel,4.17
R_5ut2tqTHns5SeQB,mean_rel,4
R_5vwhuShCk2H3fw1,mean_rel,3.17
R_5w439KNNQxKMf9H,mean_rel,3.5
R_6DalweIymPAufM9,mean_rel,4.17
